artists,year,count
Sam Smith,2017,1
Sam Smith,2018,1
Sam Smith,2019,2
Sam Sparro,2008,1
Sandi Thom,2006,1
Santana,2003,2
Sara Bareilles,2008,1
Sara Bareilles,2010,1
Saving Abel,2008,1
Saweetie,2019,1
ScHoolboy Q,2014,2
Scissor Sisters,2004,2
Scissor Sisters,2006,1
Scooter,2002,1
Scouting For Girls,2007,1
Scouting For Girls,2008,2
Scouting For Girls,2010,1
Sean Banan,2012,1
Sean Kingston,2010,1
Sean Paul,2003,1
Sean Paul,2006,1
Sean Paul,2012,1
Sebastian Ingrosso,2013,1
Sech,2019,1
Secondhand Serenade,2008,1
Seether,2007,1
Selena Gomez,2013,1
Selena Gomez,2014,1
Selena Gomez,2015,5
Selena Gomez,2016,2
Selena Gomez,2017,1
Selena Gomez,2018,2
Selena Gomez,2019,1
Selena Gomez & The Scene,2009,1
Selena Gomez & The Scene,2011,2
September,2007,1
September,2008,1
Shakira,2002,1
Shakira,2005,1
Shakira,2006,1
Shakira,2009,1
Shawn Mendes,2015,1
Shawn Mendes,2016,3
Shawn Mendes,2017,3
Shawn Mendes,2018,1
Shawn Mendes,2019,2
Shayne Ward,2005,1
Shayne Ward,2006,1
Sheppard,2014,1
Sheppard,2015,1
Sheryl Crow,2002,1
Sheryl Crow,2004,1
Shinedown,2009,1
Shontelle,2010,1
Sia,2004,1
Sia,2014,2
Sia,2016,2
Sidney Samson,2010,1
Sigala,2015,1
Sigala,2016,1
Sigala,2017,1
Sigala,2019,1
Sigma,2014,1
Sigrid,2019,1
Simple Plan,2012,1
Simply Red,2003,1
Skrillex,2012,3
Snakehips,2015,1
Snakehips,2016,1
Snakehips,2017,1
Snoop Dogg,2003,1
Snoop Dogg,2012,1
Snow Patrol,2006,2
Snow Patrol,2007,1
Sofia Reyes,2018,1
Sophie Ellis-Bextor,2002,1
Soulja Boy,2009,1
Special D.,2004,1
Spiderbait,2004,1
Staind,2001,1
Starley,2017,1
Stefflon Don,2017,1
Steps,2001,1
Stereophonics,2002,1
Stereophonics,2005,1
Steve Aoki,2016,1
Stiftelsen,2012,1
Storm Queen,2013,1
Stormzy,2019,1
Stromae,2010,1
Stromae,2013,1
Sugababes,2002,2
Sugababes,2003,2
Sugababes,2004,1
Sugababes,2005,1
Sugababes,2007,1
Sugar Ray,2001,1
Sugarland,2010,1
Sum 41,2001,2
Sunshine Anderson,2001,1
Swedish House Mafia,2010,2
Swedish House Mafia,2011,1
Swedish House Mafia,2012,2
Switchfoot,2003,1
T-Pain,2005,1
T-Pain,2006,1
T-Pain,2007,1
T-Pain,2008,1
T.I.,2004,1
T.I.,2006,1
T.I.,2009,1
Tacabro,2012,1
Taio Cruz,2010,1
Taio Cruz,2011,1
Taio Cruz,2012,1
Take That,2006,1
Take That,2007,3
Take That,2008,1
Take That,2010,1
Takida,2012,1
Tame Impala,2015,1
Tamia,2001,1
Taylor Swift,2008,1
Taylor Swift,2009,2
Taylor Swift,2010,3
Taylor Swift,2013,3
Taylor Swift,2014,4
Taylor Swift,2015,3
Taylor Swift,2017,2
Taylor Swift,2019,2
The 1975,2013,1
The 1975,2016,1
The All-American Rejects,2005,1
The All-American Rejects,2006,3
The All-American Rejects,2009,1
The Band Perry,2010,1
The Band Perry,2011,1
The Calling,2001,1
The Calling,2002,1
The Chainsmokers,2015,1
The Chainsmokers,2016,3
The Chainsmokers,2017,3
The Chemical Brothers,2005,1
The Chicks,2002,1
The Click Five,2005,1
The Coral,2005,1
The Darkness,2003,1
The Feeling,2006,1
The Fratellis,2006,1
The Fray,2006,2
The Fray,2007,1
The Fray,2009,2
The Game,2005,1
The Goo Goo Dolls,2002,1
The Hoosiers,2007,1
The Isley Brothers,2001,1
The Killers,2004,1
The Killers,2006,1
The Killers,2008,1
The Kooks,2006,2
The Lumineers,2013,1
The Lumineers,2016,1
The Neighbourhood,2013,1
The Notorious B.I.G.,2006,1
The Offspring,2008,1
The Prodigy,2009,1
The Pussycat Dolls,2005,2
The Pussycat Dolls,2006,1
The Pussycat Dolls,2008,1
The Pussycat Dolls,2009,1
The Raconteurs,2006,1
The Red Jumpsuit Apparatus,2007,1
The Saturdays,2010,1
The Saturdays,2013,1
The Script,2008,1
The Script,2009,1
The Script,2010,1
The Script,2012,1
The Script,2014,1
The Shapeshifters,2004,1
The Streets,2004,2
The Strokes,2001,1
The Strokes,2003,1
The Supermen Lovers,2001,1
The Temper Trap,2009,1
The Ting Tings,2008,2
The Vamps,2017,2
The Veronicas,2009,1
The Wanted,2010,1
The Wanted,2011,1
The Wanted,2012,1
The Weeknd,2015,3
The Weeknd,2017,1
The Weeknd,2018,2
The White Stripes,2003,1
The xx,2009,1
The-Dream,2008,1
The-Dream,2009,1
Thirty Seconds To Mars,2005,1
Thomas Rhett,2015,1
Three Days Grace,2003,1
Tim Berg,2010,1
Tim McGraw,2004,1
Timbaland,2007,1
Timbaland,2008,1
Timbaland,2010,2
Timbuktu,2012,1
Timeflies,2016,1
Tinashe,2014,1
Tiësto,2014,2
Tiësto,2018,1
Toby Keith,2005,1
Tom Odell,2013,1
Tom Walker,2019,1
Tones And I,2019,1
Tory Lanez,2016,1
Tove Lo,2014,2
Tove Lo,2015,1
Tove Lo,2016,1
Train,2001,1
Train,2003,1
Train,2010,1
Train,2012,1
Trapt,2003,1
Travie McCoy,2010,1
Travis,2001,1
Travis Scott,2018,1
Trey Songz,2008,1
Trey Songz,2010,2
Trey Songz,2015,1
Trick Daddy,2001,1
Trillville,2005,1
Troye Sivan,2015,1
Truth Hurts,2002,1
Tweet,2002,1
Twenty One Pilots,2015,1
Twenty One Pilots,2016,3
Twista,2004,3
Two Door Cinema Club,2010,1
Tyga,2012,1
Tyga,2018,1
"Tyler, The Creator",2019,1
Tyrese,2003,1
U2,2004,1
U2,2005,1
Ultrabeat,2003,1
Uncle Kracker,2001,1
Uncle Kracker,2003,1
Uncle Kracker,2009,1
Usher,2001,1
Usher,2002,2
Usher,2004,4
Usher,2005,2
Usher,2008,1
Usher,2010,1
Usher,2011,1
Usher,2012,1
Vampire Weekend,2008,1
Vance Joy,2014,1
Vanessa Carlton,2002,1
WALK THE MOON,2015,1
Waka Flocka Flame,2010,1
Waka Flocka Flame,2011,1
Wale,2013,1
Wayne Wonder,2003,1
Weezer,2001,1
Weezer,2005,1
Westlife,2001,1
Westlife,2002,1
Westlife,2003,1
Westlife,2005,1
Westlife,2006,1
Westlife,2007,1
Wiley,2019,1
Will Young,2002,1
Will Young,2003,1
Will Young,2004,1
Wiz Khalifa,2011,1
Wiz Khalifa,2015,1
Wolfine,2018,1
Wyclef Jean,2001,1
Wyclef Jean,2007,1
X Ambassadors,2015,2
X Ambassadors,2016,1
XXXTENTACION,2017,1
XXXTENTACION,2018,6
Years & Years,2015,2
Ying Yang Twins,2004,1
Ying Yang Twins,2005,1
Ylvis,2013,1
Yolanda Be Cool,2010,1
Young Money,2010,1
Young T & Bugsey,2019,1
Young Thug,2019,1
Youngbloodz,2003,1
Youngbloodz,2006,1
Yung Joc,2006,1
ZAYN,2016,1
ZAYN,2017,2
ZAYN,2018,1
ZHU,2014,1
Zac Efron,2018,1
Zara Larsson,2015,2
Zara Larsson,2016,1
Zedd,2013,1
Zedd,2014,2
Zedd,2015,1
Zedd,2017,1
Zedd,2018,1
benny blanco,2018,1
benny blanco,2019,1
blackbear,2017,1
blink-182,2003,1
fun.,2012,2
gnash,2016,1
iio,2001,1
t.A.T.u.,2003,1
will.i.am,2008,1
will.i.am,2012,1
